Run,Well,Plate
AL001_RA23_1_1120,A23,1
AL002_RB23_1_1121,B23,1
AL003_RA24_1_1122,A24,1
AL004_RB24_1_1123,B24,1
AL005_RC1_1_1124,C1,1
AL006_RD1_1_1125,D1,1
AL007_RC2_1_1126,C2,1
AL008_RD2_1_1127,D2,1
AL009_RC4_1_1128,C4,1
AL010_RD4_1_1129,D4,1
AL011_RC5_1_1130,C5,1
AL012_RD5_1_1131,D5,1
AL014_RD6_1_1133,D6,1
AL015_RC7_1_1134,C7,1
AL019_RC19_1_1158,C19,1
AL020_RD9_1_1139,D9,1
AL021_RC10_1_1140,C10,1
AL021_RC20_1_1160,C20,1
AL022_RD20_1_1161,D20,1
AL023_RC11_1_1142,C11,1
AL023_RC21_1_1162,C21,1
AL024_RD11_1_1143,D11,1
AL024_RD21_1_1163,D21,1
AL025_RC12_1_1144,C12,1
AL027_RC13_1_1146,C13,1
AL028_RD13_1_1147,D13,1
AL029_RC14_1_1148,C14,1
AL030_RD14_1_1149,D14,1
AL031_RC15_1_1150,C15,1
AL032_RD15_1_1151,D15,1
AL034_RD16_1_1153,D16,1
AL035_RC17_1_1154,C17,1
AL036_RD17_1_1155,D17,1
AL037_RC18_1_1156,C18,1
AL038_RD18_1_1157,D18,1
AL013_RC6_1_1132,C6,1
AL026_RD12_1_1145,D12,1
AL033_RC16_1_1152,C16,1
AL020_RD19_1_1159,D19,1
AL022_RD10_1_1141,D10,1
AL019_RC9_1_1138,C9,1
AL018_RD8_1_1137,D8,1